职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
大数据分析师 (职位编号：9),,['本科'],无要求,无要求,,江苏省通信服务有限公司,上市公司,,通信/电信/网络设备,,,,https://jobs.51job.com/nanjing/116508515.html?s=01&t=0
大数据及人工智能平台研发,15-30万/年,['硕士'],['3-4年经验'],['招3人'],南京南瑞集团公司,南瑞集团有限公司,国企,10000人以上,电气/电力/水利,五险一金||补充公积金||补充医疗保险||专业培训||交通补贴||通讯补贴||年终奖金||绩效奖金||定期体检||节假日福利,岗位职责：,岗位职责：,https://jobs.51job.com/nanjing-jnq/121630371.html?s=01&t=0
生物信息分析工程师 南京,0.5-1.5万/月,"['在校生/应届生', '本科']",无要求,['招3人'],南京江北新区新锦湖路3-1号中丹生命科技产业园一期B栋22楼,南京实践医学检验有限公司,民营公司,50-150人,"医疗/护理/卫生,制药/生物工程",五险一金||免费班车||交通补贴||餐饮补贴||专业培训||绩效奖金||年终奖金||定期体检,"岗位职责：
1、负责基于高通量测序技术（NGS）以及相关辅助技术（定量PCR，Sanger测序，数字PCR，生物芯片）的生物信息分析流程建立与软件开发；
2、负责基于上述技术的标准生物信息分析流程、开发、维护和升级；
3、负责基于测序技术的精准医疗和基因检测等相关产品线的数据分析和报告解读部分；
4、负责基于data mining和text mining的临床数据挖掘，结合公司的临床数据构建完整的数据注释系统和精准的个性化医疗信息。
",：,https://jobs.51job.com/nanjing-pkq/116901556.html?s=01&t=0
高级图像算法处理工程师,1.5-4万/月,['博士'],['3-4年经验'],['招1人'],江苏省南京市江宁区天骄路100号华清园8栋6层,南京图格医疗科技有限公司,民营公司,50-150人,医疗设备/器械,五险一金||免费班车||定期体检||餐饮补贴||年终奖金||定期团建||节日福利||生日福利||弹性工作||项目奖金,"岗位职责:
1、负责图像处理、图像识别算法的设计、验证；
2、与软件工程师合作完成产品的开发与调试；
3、参与系统的需求调研和需求分析，撰写相关技术文档；
4、图像处理算法、图像模式识别算法、计算机视觉相关算法的实现和性能优化；
5、撰写产品设计相关技术文档。
","：
1、计算机、电子工程、模式识别、数学类等相关学历；
2、硕士及以上学历，2年以上图像算法开发或实现的经验；",https://jobs.51job.com/nanjing-jnq/112831667.html?s=01&t=0
算法工程师,,['硕士'],['1年经验'],['招1人'],锡东高铁商务区 红豆财富广场,无锡锡商银行股份有限公司,民营公司,50-150人,银行,,"岗位职责
1．深度参与智能风控平台建设项目，负责贷款产品的风控模型和用户画像等机器学习、深度学习算法研究；
2. 负责开发还款逾期自动预测，内部欺诈发现，贷款用户精准营销等模型算法；","岗位职责
1．深度参与智能风控平台建设项目，负责贷款产品的风控模型和用户画像等机器学习、深度学习算法研究；
2. 负责开发还款逾期自动预测，内部欺诈发现，贷款用户精准营销等模型算法；",https://jobs.51job.com/wuxi-xsq/118551382.html?s=01&t=0
算法工程师--图像处理方向（装备公司）,0.6-1.2万/月,['本科'],['2年经验'],['招2人'],南京市江宁区长青街31号,中国船舶重工集团南京鹏力科技集团有限公司,国企,1000-5000人,"多元化业务集团公司,机械/设备/重工",五险一金||免费班车||交通补贴||餐饮补贴||加班补贴||高温补贴||节日福利||绩效奖金||免费住宿||年终奖金,"智能制造方向
1、负责图像处理、图像识别算法的设计、验证；
2、与软件工程师配合完成产品的开发和调试；

3、参与系统的需求调研和分析，撰写相关技术文档。
",,https://jobs.51job.com/nanjing/120563347.html?s=01&t=0
高级硬件测试工程师,1-1.8万/月,['本科'],['3-4年经验'],['招2人'],浦滨路88号科创广场总部大厦B座23楼,北京中创为南京量子通信技术有限公司,民营公司,150-500人,"通信/电信运营、增值服务,电子技术/半导体/集成电路",五险一金||免费班车||交通补贴||餐饮补贴||绩效奖金||通讯补贴||节日福利||带薪年假,"1. 负责组织和开展新产品的测试验证，评介并促进提升产品的设计开发质量；
2. 理解产品需求，负责制定测试流程、规范，提升测试效率和测试质量；
3. 主导开展产品功能、性能及技术指标的测试验证，设计输出测试方案、测试用例，并根据测试报告提出评价性意见；
4. 负责新测试技术研究和新测试方法的引入，提升测试效率与测试质量；
5. 负责分解和产品整机相关测试标准，并将标准引入到具体设计开发活动中；
6. 对产品测试问题点进行总结，并给研发部门提出持续改善建议；
7. 负责将产品测试实施过程和实施规范转化为企业标准。
","：
1. 本科及以上学历，研究生学历优先，通信、电子、计算机、自动化等工科专业；",https://jobs.51job.com/nanjing-pkq/117041849.html?s=01&t=0
"技术支持专家 (网络技术, Escalation)",2-2.5万/月,['本科'],['8-9年经验'],['招1人'],九龙湖国际企业园,思杰系统信息技术（北京）有限公司南京分公司,外资（欧美）,500-1000人,计算机软件,五险一金||弹性工作||补充医疗保险||专业培训||出国机会||定期体检||年终奖金,"We believe work is not a place, but rather a thing you do. Our technology revolves around this core philosophy. We are relentlessly committed to helping people work and play from anywhere, on any device. Innovation, creativity and a passion for ever-improving performance drive our company and our people forward. We empower the original mobile device:  YOU!












Citrix ADC is an industry leading application delivery and load balancing solution that provides a high-quality user experience for your web, traditional, and cloud-native applications regardless of where they are hosted.

Citrix SDWAN is our next-generation WAN Edge solution, which delivers flexible, automated, secure connectivity and performance that keeps the workspace always-on.



·       Resolve escalated customer issues and maintain ownership until the problem resolved completely with minimal over site from more senior members of the team

·       Act as an effective technical interface between the customer and 3rd Level Engineering / Product Development - by providing clear issue documentation and by leveraging productive cross-functional working relationships in their area of expertise

·       Act as a SME (Subject Matter Expert) in at least one core Citrix product and a resource for less senior members of the team as needed to troubleshoot and resolve specific customer issues. Develops an understanding of at least one adjacent product

·       Write & review complex technical articles and case studies for the knowledge base leveraging the customer reported cases, product specifications, and previous experience

·       Develop and review intermediate level technical training for internal and external audiences in at least one core Citrix product



·       5+ years hands on troubleshooting experience on Network System in enterprise level environments

·       Understands the operating system resource management and builds OS level and/or network debugging skills in position

·       Ability to build code or script literacy while in position with the goal to have the ability to read and understand existing code and or scripts

·       Excellent logical thinking, problem solving and communication skills

·       Solid English Written/Speaking skills to co-work with other teams in different region

·       Rich knowledge of Web technology like: HTTP/HTML/JavaScript/PHP/ASP

·       Rich knowledge of Networking (Routing, Switching, Firewall, TCP/IP, etc.)

·       Rich knowledge of L7 protocols (such as FTP, DHCP, DNS, etc.)

·       Knowledge of Operation System, especially Linux/FBSD



·       C programming and debugging

·       Experience of coding with Shell, Python or Perl

·       Database skills

·       CCNP/CCIE/MCSE/RHCE/RHCA Networking/OS certificates

·       Citrix product certifications are a plus;
","We believe work is not a place, but rather a thing you do. Our technology revolves around this core philosophy. We are relentlessly committed to helping people work and play from anywhere, on any device. Innovation, creativity and a passion for ever-improving performance drive our company and our people forward. We empower the original mobile device:  YOU!












Citrix ADC is an industry leading application delivery and load balancing solution that provides a high-quality user experience for your web, traditional, and cloud-native applications regardless of where they are hosted.

Citrix SDWAN is our next-generation WAN Edge solution, which delivers flexible, automated, secure connectivity and performance that keeps the workspace always-on.



·       Resolve escalated customer issues and maintain ownership until the problem resolved completely with minimal over site from more senior members of the team

·       Act as an effective technical interface between the customer and 3rd Level Engineering / Product Development - by providing clear issue documentation and by leveraging productive cross-functional working relationships in their area of expertise

·       Act as a SME (Subject Matter Expert) in at least one core Citrix product and a resource for less senior members of the team as needed to troubleshoot and resolve specific customer issues. Develops an understanding of at least one adjacent product

·       Write & review complex technical articles and case studies for the knowledge base leveraging the customer reported cases, product specifications, and previous experience

·       Develop and review intermediate level technical training for internal and external audiences in at least one core Citrix product



·       5+ years hands on troubleshooting experience on Network System in enterprise level environments

·       Understands the operating system resource management and builds OS level and/or network debugging skills in position

·       Ability to build code or script literacy while in position with the goal to have the ability to read and understand existing code and or scripts

·       Excellent logical thinking, problem solving and communication skills

·       Solid English Written/Speaking skills to co-work with other teams in different region

·       Rich knowledge of Web technology like: HTTP/HTML/JavaScript/PHP/ASP

·       Rich knowledge of Networking (Routing, Switching, Firewall, TCP/IP, etc.)

·       Rich knowledge of L7 protocols (such as FTP, DHCP, DNS, etc.)

·       Knowledge of Operation System, especially Linux/FBSD



·       C programming and debugging

·       Experience of coding with Shell, Python or Perl

·       Database skills

·       CCNP/CCIE/MCSE/RHCE/RHCA Networking/OS certificates

·       Citrix product certifications are a plus;
",https://jobs.51job.com/nanjing-jnq/120645790.html?s=01&t=0
智能交通工程师,0.8-1.2万/月,['本科'],['3-4年经验'],['招1人'],马群街道青马路2号1号楼4层412室,上海美慧软件有限公司,民营公司,少于50人,计算机软件,五险一金||员工旅游||绩效奖金||年终奖金||定期体检,,,https://jobs.51job.com/nanjing-qxq/117926305.html?s=01&t=0
信息安全工程师,15-20万/年,['本科'],['2年经验'],['招1人'],南京市江宁开发区苏源大道66号,长安马自达汽车有限公司,合资,1000-5000人,汽车,补充医疗保险||交通补贴||专业培训||年终奖金||绩效奖金||定期体检||购车优惠||免费班车||免费午餐,"




","




",https://jobs.51job.com/nanjing/120938769.html?s=01&t=0
嵌入式软件工程师,10-20万/年,['硕士'],无要求,['招3人'],康平街2号,北方夜视技术股份有限公司南京分公司,国企,500-1000人,电子技术/半导体/集成电路,五险一金||免费班车||专业培训||绩效奖金||交通补贴||餐饮补贴||通讯补贴||定期体检,,,https://jobs.51job.com/nanjing-jnq/121178136.html?s=01&t=0
数据分析（大气环境监测）,5-7千/月,['本科'],['1年经验'],['招1人'],生态环境部,北京雪迪龙科技股份有限公司,民营公司,1000-5000人,"环保,仪器仪表/工业自动化",五险一金||免费班车||员工旅游||年终奖金||通讯补贴||定期体检||股票期权||专业培训,,,https://jobs.51job.com/nanjing-glq/121487457.html?s=01&t=0
算法工程师,1.5-2.5万/月,['本科'],['2年经验'],['招2人'],江北新区研创园,南京安元科技有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),,"1、负责在人工智能各方向技术研究与应用。
2、负责结合具体业务，对算法模型进行优化，提出独立见解和解决方案，帮助团队解决实际问题。
",,https://jobs.51job.com/nanjing-pkq/121492183.html?s=01&t=0
少儿编程老师（虹悦城）,0.8-1万/月,['本科'],['1年经验'],['招1人'],应天大街619号虹悦城三楼,南京极运星信息科技有限公司,民营公司,500-1000人,"教育/培训/院校,计算机软件",,"1、接受公司的专业化指导和培训并进行掌握吸收，负责课程教学工作；
2、定期参加教学研讨、教学交流等活动，不断提升教学效果并接受教学质量评估；
3、参与体验课，家长讲座等招生活动，配合完成招生咨询并对学员的能力进行测评；
4、定期和家长保持沟通，提高家长满意度，并主导完成学员的续费工作；
5、收集学员的反馈信息并及时做出回复等。","1、接受公司的专业化指导和培训并进行掌握吸收，负责课程教学工作；
2、定期参加教学研讨、教学交流等活动，不断提升教学效果并接受教学质量评估；
3、参与体验课，家长讲座等招生活动，配合完成招生咨询并对学员的能力进行测评；
4、定期和家长保持沟通，提高家长满意度，并主导完成学员的续费工作；
5、收集学员的反馈信息并及时做出回复等。",https://jobs.51job.com/nanjing-yhtq/119518466.html?s=01&t=0
Linux运维工程师,0.8-1.2万/月,['本科'],['2年经验'],['招2人'],雨花台区宁双路19号云密城B栋,诚迈科技（南京）股份有限公司,外资（欧美）,1000-5000人,计算机软件,,"1、熟练掌握Linux操作系统的安装、操作和维护；
2、掌握K8S, Docker, Kafka, Zookeeper, Mysql, Cassandra, Elasticsearch等开源组件的架构原理和实际运维经验；其中K8S, Docker是必须项","1、熟练掌握Linux操作系统的安装、操作和维护；
2、掌握K8S, Docker, Kafka, Zookeeper, Mysql, Cassandra, Elasticsearch等开源组件的架构原理和实际运维经验；其中K8S, Docker是必须项",https://jobs.51job.com/nanjing-yhtq/121248794.html?s=01&t=0
人工智能算法工程师（中国联通网络AI中心）,,['硕士'],['2年经验'],无要求,建邺区,中国联合网络通信有限公司江苏省分公司,上市公司,10000人以上,通信/电信/网络设备,,"基于大数据平台和AI平台，设计、开发、优化机器学习算法，构建通用的机器学习模型，为公司的网络排障和市场支撑赋能。
1、 基于运营商数据对单用户进行画像（标签）、负责算法落地（离线、在线）、负责大数据报告的撰写和专利申请；
2、 针对运营商特定的业务场景，选择合适的机器学习算法，完成通用模型的训练、评估和发布，实现算法、模型工程化和服务化；
3、 深入了解运营商业务需求，对算法和模型应用效果进行体系性量化评估分析，并对评估结果进行不断优化；
4、 保持对业界机器学习算法和应用的广泛了解，跟踪最新进展，持续提升算法和模型竞争力；
","：
1.全日制硕士研究生及以上学历
2.专业知识：数学、统计学、计算机、通信等相关专业，研究生以上学历；",https://jobs.51job.com/nanjing/120031520.html?s=01&t=0
软件实施工程师,4.5-6千/月,['大专'],无要求,['招1人'],玄武大道699-27号徐庄软件研发基地三区A栋三楼,南京中科盟联信息科技有限公司,民营公司,150-500人,"通信/电信/网络设备,医疗设备/器械",五险一金||员工旅游||绩效奖金||年终奖金||提升空间,"1、软件项目的现场实施和维护；
2、项目中出现的各类问题及时上报项目经理；
3、配合项目经理完成各项实施工作任务及其他项目事宜。
",：,https://jobs.51job.com/nanjing-xwq/113957881.html?s=01&t=0
开发工程师（C#/.NET，GO，Nodejs，Python）,0.8-1.4万/月,"['在校生/应届生', '本科']",无要求,['招2人'],云密城G栋8楼,南京奥派信息产业股份公司,民营公司,50-150人,计算机软件,五险一金||员工旅游||绩效奖金||定期体检||餐饮补贴||带薪年假||周末双休||生日福利||节日福利,"【岗位职责】
1、根据业务","，提供技术实现方案；
2、公司核心软件设计、开发工作；
3、软件的需求分析，提供软件发展功能性建议；",https://jobs.51job.com/nanjing-yhtq/116967257.html?s=01&t=0
软件测试工程师,0.7-1.5万/月,['大专'],['3-4年经验'],['招2人'],建邺区扬子江大道399号海峡城云谷科技园,南京三圣物流有限公司,民营公司,500-1000人,交通/运输/物流,弹性工作||绩效奖金||年终奖金||五险一金||通讯补贴||餐饮补贴||定期体检,,,https://jobs.51job.com/nanjing-jyq/117650776.html?s=01&t=0
